"id";"ISVU Bodovi";"ISVU Ocjena";"ISVU Rok";"Kontinuirana nastava - bodovi";"Kontinuirana nastava - prolaz";"Kontinuirana nastava - vrijeme";"1. ispitni rok - bodovi";"1. ispitni rok - prolaz";"1. ispitni rok - vrijeme";"2. ispitni rok (ljetni) - bodovi";"2. ispitni rok (ljetni) - prolaz";"2. ispitni rok (ljetni) - vrijeme";"2. ispitni rok (jesenski) - bodovi";"2. ispitni rok (jesenski) - prolaz";"2. ispitni rok (jesenski) - vrijeme";"Dekanski rok - bodovi";"Dekanski rok - prolaz";"Dekanski rok - vrijeme"
"004091a8";"";"";"";7;"";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"01b29f7c";"";"";"";35;"";"2021-02-09";25.0;"";"2021-02-18";0.0;"";"2021-04-13";6;"";"2021-09-10";0;"";"2021-09-10"
"01df2c26";45.31;2.0;"2021-07-13";39;"";"2021-02-09";0.0;"";"2020-11-06";45.31;"DA ";"2021-07-15";0;"";"2021-04-13";0;"";"2021-09-10"
"033a4f0c";"";"";"";1;"";"2021-02-09";12.5;"";"2021-02-18";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"0431c61d";84.0;4.0;"2021-02-01";84;"DA ";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"04cf5713";60.0;3.0;"2021-02-01";60;"DA ";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"0669618f";"";"";"";0;"";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"06845107";63.0;3.0;"2021-02-01";63;"DA ";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"06f4f75b";47.0;2.0;"2021-02-01";47;"DA ";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"0732523f";69.0;3.0;"2021-02-01";69;"DA ";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"073fd3c7";"";"";"";5;"";"2021-02-09";18.75;"";"2021-02-18";0.0;"";"2021-04-13";14;"";"2021-09-10";0;"";"2021-09-10"
"07691dfe";"";"";"";8;"";"2021-02-09";3.125;"";"2021-02-18";0.0;"";"2021-04-13";6;"";"2021-09-10";0;"";"2021-09-10"
"078a4697";48.4375;2.0;"2021-02-15";40;"";"2021-02-09";48.4375;"DA ";"2021-02-18";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"07c31d10";57.0;3.0;"2021-02-01";57;"DA ";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"088725df";"";"";"";11;"";"2021-02-09";4.6875;"";"2021-02-18";7.81;"";"2021-07-15";0;"";"2021-04-13";0;"";"2021-09-10"
"0907661e";55.0;3.0;"2021-09-14";40;"";"2021-02-09";31.25;"";"2021-02-18";0.0;"";"2021-04-13";41;"";"2021-09-10";55;"DA ";"2021-09-15"
"0918cc9d";72.0;4.0;"2021-02-01";72;"DA ";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"091b3f1e";83.0;4.0;"2021-02-01";83;"DA ";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"09271404";46.875;2.0;"2021-02-15";41;"";"2021-02-09";46.875;"DA ";"2021-02-19";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"09855412";64.0;3.0;"2021-02-01";64;"DA ";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"09962d6c";67.0;3.0;"2021-02-01";67;"DA ";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"09f6134c";99.0;5.0;"2021-02-01";99;"DA ";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"0a2f062b";53.125;2.0;"2021-02-15";26;"";"2021-02-09";53.125;"DA ";"2021-02-18";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"0a483cee";"";"";"";0;"";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"0acd59b4";74.0;4.0;"2021-02-01";74;"DA ";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"0e08f0d2";"";"";"";0;"";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"0e3471a9";96.0;5.0;"2021-02-01";96;"DA ";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"0e657a2c";"";"";"";34;"";"2021-02-09";26.5625;"";"2021-02-18";25.0;"";"2021-07-15";0;"";"2021-04-13";0;"";"2021-09-10"
"0eb2210b";57.0;3.0;"2021-02-01";57;"DA ";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"0eb66257";45.0;2.0;"2021-02-01";45;"DA ";"2021-02-10";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"0f230248";57.8125;3.0;"2021-02-15";38;"";"2021-02-09";57.8125;"DA ";"2021-02-19";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"0f9b4c20";88.0;5.0;"2021-02-01";88;"DA ";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"0ffd4212";100.0;5.0;"2021-02-01";100;"DA ";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"0fffba47";45.0;2.0;"2021-02-01";45;"DA ";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"104b7ffb";45.0;2.0;"2021-02-01";45;"DA ";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"1072895d";49.0;2.0;"2021-02-01";49;"DA ";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"10d837c6";"";"";"";41;"";"2021-02-09";39.0625;"";"2021-02-18";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"11047add";73.0;4.0;"2021-02-01";73;"DA ";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
