"id";"ISVU Bodovi";"ISVU Ocjena";"ISVU Rok";"Kontinuirana nastava - bodovi";"Kontinuirana nastava - prolaz";"Kontinuirana nastava - vrijeme";"1. ispitni rok - bodovi";"1. ispitni rok - prolaz";"1. ispitni rok - vrijeme";"2. ispitni rok - bodovi";"2. ispitni rok - prolaz";"2. ispitni rok - vrijeme";"3. ispitni rok - bodovi";"3. ispitni rok - prolaz";"3. ispitni rok - vrijeme";"Dekanski rok - bodovi";"Dekanski rok - prolaz";"Dekanski rok - vrijeme"
"00be2dd6";"";"";"";23;"";"2024-02-13";21.67;"";"2024-02-24";46.67;"";"2024-07-11";1.67;"";"2024-09-05";0.0;"";"2023-11-10"
"03063861";70.0;3.0;"2024-02-05";70;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"0340272f";"";"";"";13;"";"2024-02-08";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"0380df49";65.0;3.0;"2024-07-03";36;"";"2024-02-13";46.67;"";"2024-02-24";65.0;"DA ";"2024-07-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"03d9bedf";53.33;2.0;"2024-02-19";43;"";"2024-02-13";53.33;"DA ";"2024-02-24";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"046b8ef1";"";"";"";20;"";"2024-02-08";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"046f202c";52.0;2.0;"2024-02-05";52;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"0566e8da";63.33;3.0;"2024-08-28";60;"DA ";"2024-02-13";45.0;"";"2024-02-22";0.0;"";"2023-11-10";63.33;"DA ";"2024-09-05";0.0;"";"2023-11-10"
"056b9c33";"";"";"";0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"05768b0c";58.0;3.0;"2024-02-05";58;"DA ";"2024-02-14";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"05ab53b5";81.0;4.0;"2024-02-05";81;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"05bb3ac4";58.0;3.0;"2024-02-05";58;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"068f32a2";56.0;2.0;"2024-02-05";56;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"070ba2b9";51.7;2.0;"2024-09-09";44;"";"2024-02-13";43.33;"";"2024-02-24";23.33;"";"2024-07-10";41.67;"";"2024-09-05";51.7;"DA ";"2024-09-12"
"07358f37";72.0;4.0;"2024-02-05";72;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"0759424d";51.67;2.0;"2024-02-19";26;"";"2024-02-13";51.67;"DA ";"2024-02-24";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"08475641";60.0;3.0;"2024-09-09";20;"";"2024-02-08";38.33;"";"2024-02-24";11.67;"";"2024-07-10";45.0;"";"2024-09-05";60.0;"DA ";"2024-09-12"
"08d96dcc";"";"";"";21;"";"2024-02-13";26.67;"";"2024-02-24";6.67;"";"2024-07-10";20.0;"";"2024-09-05";13.3;"";"2024-09-12"
"092ca8a3";"";"";"";0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";15.0;"";"2024-09-05";0.0;"";"2023-11-10"
"09992084";50.0;2.0;"2024-02-05";50;"DA ";"2024-02-14";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
"09a793f1";67.0;3.0;"2024-02-05";67;"DA ";"2024-02-13";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10";0.0;"";"2023-11-10"
