"id";"ISVU Bodovi";"ISVU Ocjena";"ISVU Rok";"Kontinuirana nastava - bodovi";"Kontinuirana nastava - prolaz";"Kontinuirana nastava - vrijeme";"Zimski rok - bodovi";"Zimski rok - prolaz";"Zimski rok - vrijeme";"Ljetni rok - bodovi";"Ljetni rok - prolaz";"Ljetni rok - vrijeme";"Jesenski rok (1) - bodovi";"Jesenski rok (1) - prolaz";"Jesenski rok (1) - vrijeme";"Jesenski rok (2) - bodovi";"Jesenski rok (2) - prolaz";"Jesenski rok (2) - vrijeme"
"001e9b6a";65.0;3.0;"2025-02-10";65;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"003bf718";53.0;2.0;"2025-02-10";53;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"00be2dd6";50.0;2.0;"2025-02-24";4;"";"2025-02-19";50.0;"DA ";"2025-03-06";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"00dcb99a";59.0;3.0;"2025-02-10";59;"DA ";"2025-02-20";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"01337d3e";72.0;4.0;"2025-02-10";72;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"015b3791";50.0;2.0;"2025-02-10";50;"DA ";"2025-02-20";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"0175d459";"";"";"";12;"";"2025-02-19";10.0;"";"2025-03-03";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"01ad4a53";70.0;3.0;"2025-02-10";70;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"023dbe27";51.67;2.0;"2025-07-09";23;"";"2025-02-19";30.0;"";"2025-03-03";51.67;"DA ";"2025-07-14";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"02c49416";76.0;4.0;"2025-02-10";76;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"030ada0b";50.0;2.0;"2025-02-10";50;"DA ";"2025-02-20";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"0350ef30";50.0;2.0;"2025-02-10";50;"DA ";"2025-02-20";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"03e6923a";72.0;4.0;"2025-02-10";72;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"041efca9";55.0;2.0;"2025-02-10";55;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"046b8ef1";60.0;3.0;"2025-09-09";17;"";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";20.0;"";"2025-09-03";60.0;"DA ";"2025-09-16"
"04c10d06";"";"";"";46;"";"2025-02-19";36.67;"";"2025-03-03";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"052a0c42";58.0;3.0;"2025-02-10";58;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"0545996f";"";"";"";0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"056b9c33";"";"";"";0;"";"2024-11-12";0.0;"";"2024-11-12";0.0;"";"2024-11-12";0.0;"";"2024-11-12";0.0;"";"2024-11-12"
"059c805c";50.0;2.0;"2025-02-24";11;"";"2025-02-19";50.0;"DA ";"2025-03-06";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"05b1963a";"";"";"";14;"";"2025-02-19";0.0;"";"2024-09-25";3.33;"";"2025-07-11";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"05b31033";60.0;3.0;"2025-02-10";60;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"05c03dfe";94.0;5.0;"2025-02-10";94;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"06e43685";68.0;3.0;"2025-02-10";68;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"07a11246";65.0;3.0;"2025-02-24";43;"";"2025-02-19";65.0;"DA ";"2025-03-03";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"07dd4b94";51.0;2.0;"2025-02-10";51;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"08878ca5";50.0;2.0;"2025-02-10";50;"DA ";"2025-02-21";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"08d96dcc";"";"";"";10;"";"2025-02-19";33.33;"";"2025-03-03";0.0;"";"2024-09-25";8.33;"";"2025-09-03";0.0;"";"2024-09-25"
"090996a9";68.0;3.0;"2025-02-10";68;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"092ca8a3";"";"";"";0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"095e69a2";77.0;4.0;"2025-02-10";77;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"0a15282d";72.0;4.0;"2025-02-10";72;"DA ";"2025-02-20";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
