"id";"ISVU Bodovi";"ISVU Ocjena";"ISVU Rok";"Kontinuirana nastava - bodovi";"Kontinuirana nastava - prolaz";"Kontinuirana nastava - vrijeme";"1. ispitni rok - bodovi";"1. ispitni rok - prolaz";"1. ispitni rok - vrijeme";"2. ispitni rok - bodovi";"2. ispitni rok - prolaz";"2. ispitni rok - vrijeme";"Dekanski rok - bodovi";"Dekanski rok - prolaz";"Dekanski rok - vrijeme"
"004091a8";"";"";"";0.0;"";"2021-05-11";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"0100ce9e";53.3;2.0;"2021-09-06";39.0;"";"2021-07-06";41.7;"";"2021-07-18";53.3;"DA";"2021-09-10";0.0;"";"2021-09-10"
"01b29f7c";"";"";"";1.0;"";"2021-05-11";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"01df2c26";45.0;2.0;"2021-06-28";45.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"02c8a6f8";"";"";"";0.0;"";"2021-05-11";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"033a4f0c";"";"";"";7.0;"";"2021-05-11";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"0431c61d";87.0;5.0;"2021-06-28";87.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"04cf5713";60.0;3.0;"2021-09-06";38.0;"";"2021-07-06";45.0;"DA";"2021-07-15";60.0;"DA";"2021-09-10";0.0;"";"2021-09-10"
"0669618f";"";"";"";0.0;"";"2021-05-11";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"06845107";52.0;2.0;"2021-06-28";52.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"06f4f75b";45.0;2.0;"2021-09-06";38.0;"";"2021-07-06";38.3;"";"2021-07-15";45.0;"DA";"2021-09-12";0.0;"";"2021-09-10"
