"id","ISVU Bodovi","ISVU Ocjena","ISVU Rok","Kontinuirana nastava - bodovi","Kontinuirana nastava - prolaz","Kontinuirana nastava - vrijeme","Ljetni rok - bodovi","Ljetni rok - prolaz","Ljetni rok - vrijeme","Jesenski rok (1) - bodovi","Jesenski rok (1) - prolaz","Jesenski rok (1) - vrijeme","Jesenski rok (2) - bodovi","Jesenski rok (2) - prolaz","Jesenski rok (2) - vrijeme","Jesenski rok (3) - bodovi","Jesenski rok (3) - prolaz","Jesenski rok (3) - vrijeme"
"001e9b6a",60,3,"2025-06-24",60,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"003bf718",64,3,"2025-06-24",64,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"00be2dd6",,,,4,,"2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"00dcb99a",62,3,"2025-06-24",62,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"01337d3e",73,4,"2025-06-24",73,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"015b3791",,,,39,,"2025-07-01",0,,"2025-02-14","23,3",,"2025-08-29","13,3",,"2025-09-12",40,,"2025-09-19"
"0175d459",,,,8,,"2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"01ad4a53",71,3,"2025-06-24",71,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"023dbe27",,,,20,,"2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"02c49416",65,3,"2025-06-24",65,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"02c8a6f8",,,,0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"030ada0b","56,7",2,"2025-09-19",18,,"2025-07-01",0,,"2025-02-14","43,3",,"2025-08-29","16,7",,"2025-09-12","56,7","DA","2025-09-19"
"0350ef30",52,2,"2025-06-24",52,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"03b372b8",,,,22,,"2025-07-01",0,,"2025-02-14",0,,"2025-02-14","13,3",,"2025-09-12",0,,"2025-09-19"
"03e6923a",74,4,"2025-06-24",74,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"0403729e","51,7",2,"2025-08-26",47,,"2025-07-01","41,7",,"2025-07-15","51,7","DA","2025-08-29",0,,"2025-02-14",0,,"2025-09-19"
"041efca9",55,2,"2025-06-24",55,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"046b8ef1",,,,13,,"2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"04c10d06",,,,35,,"2025-07-01",5,,"2025-07-11",25,,"2025-08-29",25,,"2025-09-12","33,3",,"2025-09-19"
"052a0c42",63,3,"2025-06-24",63,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"0545996f",,,,1,,"2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"0566e8da","53,3",2,"2025-07-08",47,,"2025-07-01","53,3","DA","2025-07-11",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"056b9c33",,,,0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"059c805c",,,,19,,"2025-07-01","38,3",,"2025-07-11",20,,"2025-08-29","16,7",,"2025-09-12",0,,"2025-09-19"
"05b1963a",,,,12,,"2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"05b31033",60,3,"2025-06-24",60,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"05bb3ac4",,,,20,,"2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"05c03dfe",86,5,"2025-06-24",86,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"06ab9abe",,,,0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"06e43685",61,3,"2025-06-24",61,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"07691dfe",,,,36,,"2025-07-01","13,3",,"2025-07-11",0,,"2025-02-14",10,,"2025-09-12","43,3",,"2025-09-22"
"07a11246",60,3,"2025-06-24",60,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"07dd4b94","53,3",2,"2025-09-19",33,,"2025-07-01","18,3",,"2025-07-11","18,3",,"2025-08-29","21,7",,"2025-09-12","53,3","DA","2025-09-22"
"08475641",54,2,"2025-06-24",54,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"08878ca5",54,2,"2025-06-24",54,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"08d96dcc",,,,3,,"2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"090996a9",50,2,"2025-06-24",50,"DA","2025-07-04",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"092ca8a3",,,,0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"095e69a2",62,3,"2025-06-24",62,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"09992084","51,7",2,"2025-07-08",38,,"2025-07-01","51,7","DA","2025-07-11",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"0a15282d",69,3,"2025-06-24",69,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"0ae1c277",50,2,"2025-09-19",21,,"2025-07-01",0,,"2025-02-14",0,,"2025-02-14","23,3",,"2025-09-12",50,"DA","2025-09-19"
"0b37f59d",,,,38,,"2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"0b776fb8",,,,18,,"2025-07-01",35,,"2025-07-11","33,3",,"2025-08-29","36,7",,"2025-09-12",0,,"2025-09-19"
"0b925c7d",50,2,"2025-06-24",50,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"0bb6a4e7",53,2,"2025-06-24",53,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"0c6eaac8",69,3,"2025-06-24",69,"DA","2025-07-04",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"0c833a3e","51,7",2,"2025-09-19",44,,"2025-07-01","18,3",,"2025-07-11","38,3",,"2025-08-29","16,7",,"2025-09-12","51,7","DA","2025-09-19"
"0cdbc10e","63,3",3,"2025-08-26",49,,"2025-07-01",0,,"2025-02-14","63,3","DA","2025-08-29",0,,"2025-02-14",0,,"2025-09-19"
"0d1afa23",,,,2,,"2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"0d5ce24b",91,5,"2025-06-24",91,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"0dcccb3c",,,,0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"0e2fa8ac",,,,2,,"2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"0e422bc0",,,,19,,"2025-07-01",0,,"2025-02-14",15,,"2025-08-29","23,3",,"2025-09-12","26,7",,"2025-09-19"
"0e726eb3",,,,0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"0e78931b",52,2,"2025-06-24",52,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"0e9904a7",,,,12,,"2025-07-01",0,,"2025-02-14","8,3",,"2025-08-29","13,3",,"2025-09-12","41,7",,"2025-09-19"
"0ef9ccb3",,,,13,,"2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"0f9bf769",,,,18,,"2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"0fb4cefa",71,3,"2025-06-24",71,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"0fb9566c",,,,33,,"2025-07-01","1,7",,"2025-07-11",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"109ffd91",73,4,"2025-06-24",73,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"10a68c48",,,,18,,"2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"10b6f851",55,2,"2025-09-19",40,,"2025-07-01","28,3",,"2025-07-11",40,,"2025-08-29",40,,"2025-09-12",55,"DA","2025-09-19"
"10df2991",54,2,"2025-06-24",54,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"10f70653",63,3,"2025-06-24",63,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"1112d670",50,2,"2025-09-08",16,,"2025-07-01","26,7",,"2025-07-11","41,7",,"2025-09-02",50,"DA","2025-09-16",0,,"2025-09-19"
"114875be",,,,18,,"2025-07-01","23,3",,"2025-07-11",0,,"2025-02-14","26,7",,"2025-09-12","36,7",,"2025-09-19"
"117f2566","51,7",2,"2025-07-08",48,,"2025-07-01","51,7","DA","2025-07-11",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"11aef1f5",56,2,"2025-06-24",56,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"1243cf81",60,3,"2025-06-24",60,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"12592529",58,3,"2025-06-24",58,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"12d3b317",,,,5,,"2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"12f97116",,,,1,,"2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"130f0ee4",,,,21,,"2025-07-01",0,,"2025-02-14","21,7",,"2025-08-29",0,,"2025-02-14",0,,"2025-09-19"
"1318cb26","51,7",2,"2025-09-19",44,,"2025-07-01",40,,"2025-07-11","31,7",,"2025-08-29","36,7",,"2025-09-12","51,7","DA","2025-09-19"
"1318ed1a",,,,13,,"2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"1379ea97",63,3,"2025-06-24",63,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"13d77375",,,,3,,"2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"146ebdeb",,,,21,,"2025-07-01",0,,"2025-02-14","31,7",,"2025-08-29","36,7",,"2025-09-12",0,,"2025-09-19"
"14810034",74,4,"2025-06-24",74,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"14dda0ba",,,,11,,"2025-07-01",0,,"2025-02-14",25,,"2025-08-29",45,,"2025-09-16","36,7",,"2025-09-19"
"150eecfd",,,,30,,"2025-07-01","13,3",,"2025-07-11",10,,"2025-08-29",0,,"2025-02-14",20,,"2025-09-19"
"15375767",50,2,"2025-06-24",50,"DA","2025-07-01",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-02-14",0,,"2025-09-19"
"15a1a520",75,4,"2025-09-19",41,,"2025-07-01","38,3",,"2025-07-11","41,7",,"2025-08-29","28,3",,"2025-09-12",75,"DA","2025-09-19"
"15af0d7a",,,,35,,"2025-07-01","3,3",,"2025-07-11","38,3",,"2025-09-02",20,,"2025-09-12",0,,"2025-09-19"
